Time;Lateness;Assembly;Total;CycleTime;Consumab;Material;InDueTotal
56640;-1047.073048;4.234012094;794;1345.105793;19984.7452;3206983.683;782
57120;-1025.201483;4.230718662;809;1367.642769;19977.6239;3214487.77;787
57600;-1015.410539;4.216520833;816;1376.029412;19972.35331;3216665.858;788
58080;-1006.656136;4.212600034;823;1383.381531;19953.41433;3210382.922;791
58560;-996.2560096;4.213930328;832;1392.683894;19981.66803;3206483.12;795
59040;-986.825;4.196609925;840;1403.360714;19966.16002;3214159.553;799
59520;-981.9573964;4.197879116;845;1408.401183;19980.10417;3215687.221;804
60000;-972.1803279;4.188730417;854;1418.702576;19969.34815;3205009.263;811
60480;-964.9068685;4.172981812;859;1424.995343;19966.03543;3213778.325;811
60960;-961.29036;4.160020095;861;1428.354239;19967.01554;3210533.796;811
61440;-930.4225513;4.156581299;878;1460.998861;19983.43306;3210886.056;811
61920;-923.1540204;4.138615229;883;1468.744054;19976.85173;3205801.14;811
62400;-919.7841808;4.138546875;885;1472.014689;19950.36077;3214587.535;811
62880;-898.0200893;4.126912055;896;1493.295759;19983.35469;3207122.883;811
63360;-872.7916667;4.124347459;912;1519.707237;19981.64568;3216612.945;812
63840;-864.689468;4.115378681;921;1527.574376;19962.58945;3205575.026;816
64320;-858.5952637;4.10502954;929;1533.331539;19981.08589;3210540.308;823
64800;-855.732334;4.097470062;934;1537.368308;19973.26269;3213344.933;828
65280;-849.2690678;4.082013787;944;1543.433263;19982.37233;3209013.239;838
65760;-843.115304;4.083916895;954;1549.833333;19969.33516;3209925.049;848
66240;-833.780083;4.071605601;964;1559.981328;19972.90687;3210877.505;851
66720;-829.146241;4.0677811;971;1565.287333;19967.60235;3209497.533;858
67200;-827.3391393;4.054951711;976;1566.54918;19977.38054;3210911.381;863
67680;-825.8150407;4.040289155;984;1568.888211;19975.06486;3212283.193;871
68160;-825.6189516;4.032921141;992;1568.621976;19954.17778;3214118.98;879
68640;-825.8565697;4.04277586;997;1568.874624;19979.54615;3211293.637;884
69120;-824.203373;4.044327619;1008;1569.895833;19978.70579;3214002.61;895
69600;-821.8786982;4.030525862;1014;1573.502959;19978.59065;3210925.875;901
70080;-820.8212891;4.032790454;1024;1574.932617;19967.64103;3216103.806;911
70560;-820.920311;4.032856789;1029;1574.753158;19977.22382;3217268.741;916
71040;-822.8310811;4.036833404;1036;1573.464286;19960.24412;3208310.516;923
71520;-824.175;4.029118009;1040;1571.744231;19979.52159;3213918.196;927
72000;-826.2511893;4.024882569;1051;1570.676499;19979.94973;3211985.049;938
72480;-828.0885957;4.027657561;1061;1568.630537;19977.75297;3215847.546;948
72960;-829.1633803;4.0239608;1065;1567.261972;19979.41694;3218550.06;952
73440;-830.8899254;4.022172249;1072;1565.518657;19973.30989;3214991.669;959
73920;-832.8965836;4.012119318;1083;1564.996307;19979.29582;3214043.49;970
74400;-834.3373162;3.999572312;1088;1562.078125;19979.83605;3211668.317;975
74880;-836.9478976;4.003691239;1094;1558.927788;19974.36684;3217404.306;981
75360;-839.318552;4.007594878;1105;1557.514932;19972.14987;3213834.606;992
75840;-839.4102334;4.010058544;1114;1557.066427;19961.6539;3214150.829;1001
76320;-839.315508;4.008080385;1122;1556.656863;19973.93227;3218288.398;1009
76800;-839.4193262;3.998206641;1128;1556.49734;19979.68042;3216818.015;1015
77280;-839.9454225;3.99523706;1136;1556.184859;19979.54126;3216104.469;1023
77760;-839.3745645;3.992029514;1148;1556.089721;19964.63167;3212786.104;1035
78240;-836.0793788;3.992067229;1159;1558.611734;19965.73624;3214598.858;1046
78720;-833.1242502;3.992308181;1167;1560.796915;19976.84119;3213629.72;1054
79200;-831.059727;3.987018371;1172;1563.937713;19978.47945;3218118.528;1059
79680;-827.5604396;3.986676519;1183;1567.784446;19978.46824;3213741.712;1070
80160;-827.104465;3.986975299;1187;1568.309183;19977.21116;3212516.34;1074
3360;-1366.8;4.468147321;20;934.5;19999.21585;3174386.253;20
3840;-1219.137931;4.470658854;29;1083.827586;19853.28668;3072463.788;29
4320;-1198.939394;4.922554398;33;1128.636364;19957.32437;3117405.856;33
4800;-1216.948718;4.68491875;39;1122.179487;19846.78501;3164967.293;39
5280;-1247.906977;4.535689394;43;1074.418605;19727.91436;3168004.251;43
5760;-1271.44898;4.491719618;49;1042.632653;19943.04866;3201560.84;49
6240;-1241;4.325001603;57;1079.315789;19843.0317;3168539.423;57
6720;-1209.057143;4.224318452;70;1153.214286;19859.95375;3181496.967;70
7200;-1189.76;4.135290972;75;1176.68;19992.65294;3195285.933;75
7680;-1186.059524;4.14764974;84;1182.559524;19887.4246;3169481.981;84
8160;-1171.032258;4.219792892;93;1191.655914;19988.17061;3207491.692;93
8640;-1172.204082;4.237415509;98;1195.673469;19993.22737;3195617.221;98
9120;-1182.852941;4.188524671;102;1186.333333;19997.74247;3179549.574;102
9600;-1202.330275;4.224634375;109;1164.247706;19899.73407;3188659.76;109
10080;-1212.442478;4.277982143;113;1160.831858;19953.87185;3198217.383;113
10560;-1226.208333;4.218984375;120;1149.233333;19961.41621;3198824.017;120
11040;-1233.58871;4.236810688;124;1139.790323;19946.55223;3197335.945;124
11520;-1237.88806;4.23905599;134;1137.216418;19989.32909;3193428.505;134
12000;-1232.795775;4.237993333;142;1137.366197;19992.01375;3212080.336;142
12480;-1220.426667;4.269823317;150;1153.573333;19995.28029;3196920.225;150
12960;-1200.703704;4.209480324;162;1174.765432;19993.66016;3216187.652;162
13440;-1198.048485;4.110888765;165;1178.030303;19965.37226;3182516.384;165
13920;-1175.706215;4.130901221;177;1200.129944;19995.04178;3204528.717;177
14400;-1165.245902;4.065707986;183;1218.196721;19979.68201;3171558.432;183
14880;-1125.692308;4.037187164;195;1255.989744;19880.64885;3148855.797;195
15360;-1119.21608;4.01091862;199;1260.236181;19968.73925;3204926.755;199
15840;-1104.014286;4.041354167;210;1279.480952;19974.48017;3191740.3;210
16320;-1090.354839;4.007158395;217;1294.668203;19993.34644;3186304.678;217
16800;-1087.086364;3.949901786;220;1298.595455;19904.03902;3172814.041;220
17280;-1064.982759;3.990874711;232;1317.560345;19990.87923;3168716.283;232
17760;-1047.890756;4.0007317;238;1333.915966;19957.08827;3212899.903;238
