TotalWork,TotalSetup,SumDuration,SumOperations,ProductionOrders,CycleTime
4.57,10.08,404,40,8,4503
4.57,10.08,253,25,5,2673
4.57,10.08,153,15,3,1695
4.57,10.08,397,40,8,4966
6.49,11.38,254,25,5,3728
7.55,11.77,253,25,5,3509
7.55,11.77,310,30,6,4636
6.57,11.69,158,15,3,1947
5.7,12.01,151,15,3,2066
5.7,12.01,404,40,8,4267
5.7,12.01,404,40,8,4170
5.7,12.01,417,40,8,5149
6.73,11.57,193,20,4,2297
6.73,11.57,195,20,4,1957
6.72,9.88,150,15,3,2196
6.72,9.88,310,30,6,3879
6.72,9.88,156,15,3,1649
4.42,9.81,156,15,3,2258
4.42,9.81,201,20,4,2402
4.42,9.81,199,20,4,2082
3.41,8.45,195,20,4,2484
4.98,9.14,404,40,8,5017
4.98,9.14,255,25,5,3202
4.5,10.67,149,15,3,1902
4.5,10.67,147,15,3,1748
4.5,10.67,193,20,4,2839
3.85,7.71,245,25,5,3604
3.85,7.71,161,15,3,1802
3.85,7.71,147,15,3,1633
4.5,11.29,158,15,3,2322
3.19,7.48,209,20,4,3114
3.19,7.48,156,15,3,2338
3,7.83,156,15,3,2076
3,7.83,147,15,3,1988
3,7.83,161,15,3,2374
3,7.83,397,40,8,4740
3.69,8.06,149,15,3,1859
3.69,8.06,200,20,4,2681
5.27,11.12,195,20,4,1987
4.74,11.03,161,15,3,2096
4.74,11.03,147,15,3,1528
3.69,8.52,161,15,3,2000
4.78,9.69,161,15,3,2256
4.71,10.77,149,15,3,1494
6.79,11.43,156,15,3,1806
6.82,10.44,149,15,3,1625
6.82,10.44,147,15,3,1914
6.82,10.44,145,15,3,1830
6.82,10.44,397,40,8,5261
6.82,10.44,199,20,4,2044
6.82,10.44,199,20,4,2172
6.46,11.8,255,25,5,3664
6.46,11.8,193,20,4,2241
7.9,10.8,145,15,3,2067
6.59,12.17,253,25,5,3420
5.24,10.7,256,25,5,2662
5.24,10.7,417,40,8,4854
5.45,12.12,153,15,3,1896
2.98,7.56,399,40,8,5817
4.46,10.6,417,40,8,5514
4.46,10.6,147,15,3,1769
4.46,10.6,199,20,4,2763
3.97,10.15,200,20,4,2236
4.36,11.2,255,25,5,3817
4.36,11.2,151,15,3,2017
4.36,11.2,156,15,3,1797
4.36,11.2,161,15,3,1779
4.36,11.2,209,20,4,2741
4.36,11.2,399,40,8,4626
4.36,11.2,161,15,3,2557
